Time,u1,y1,y2,x1,x2,x3
7210,1201221.875,1150626.625,779.5984497070313,1160285.875,0.5242277383804321,430.9939880371094
7220,1242158,1201021.125,780.4850463867188,1201221.875,0.5248720645904541,431.5237426757813
7230,1283094.125,1241973.375,781.204833984375,1242158,0.5253951549530029,431.9537658691406
7240,1324030.25,1282909.375,781.9242553710938,1283094.125,0.5259180068969727,432.3836364746094
7250,1364966.375,1323845.75,782.6434936523438,1324030.25,0.5264409184455872,432.8135375976563
7260,1405902.5,1364781.875,783.3626098632813,1364966.375,0.5269638299942017,433.2434692382813
7270,1446838.5,1405717.875,784.0816650390625,1405902.5,0.5274867415428162,433.6734008789063
7280,1487774.625,1446654,784.800537109375,1446838.5,0.5280097126960754,434.1033325195313
7290,1528710.75,1487590.125,785.5193481445313,1487774.625,0.5285326838493347,434.5333251953125
7300,1569646.875,1528526.125,786.238037109375,1528710.75,0.5290557146072388,434.9633178710938
7310,1610583,1569462.25,786.95654296875,1569646.875,0.5295787453651428,435.393310546875
7320,1651519.125,1610398.375,787.6749877929688,1610583,0.5301017761230469,435.8233642578125
7330,1692455.125,1651334.375,788.393310546875,1651519.125,0.5306248664855957,436.25341796875
7340,1733391.25,1692270.5,789.1115112304688,1692455.125,0.5311479568481445,436.6834716796875
7350,1774327.375,1733206.625,789.82958984375,1733391.25,0.5316711068153381,437.1135559082031
7360,1815263.5,1774142.625,790.5475463867188,1774327.375,0.5321942567825317,437.5436706542969
7370,1856199.625,1815078.75,791.265380859375,1815263.5,0.5327174663543701,437.9738159179688
7380,1897135.75,1856014.875,791.983154296875,1856199.625,0.5332406163215637,438.4039611816406
7390,1938071.75,1896950.875,792.7007446289063,1897135.75,0.5337638854980469,438.8341369628906
7400,1979007.875,1937887,793.4182739257813,1938071.75,0.5342870950698853,439.2643127441406
7410,2019944,1978823,794.1356201171875,1979007.875,0.5348103642463684,439.6945190429688
7420,2060880.125,2019759.125,794.8529052734375,2019944,0.5353336930274963,440.124755859375
7430,2101816.25,2060695.25,795.5700073242188,2060880.125,0.5358570218086243,440.5549926757813
7440,2142752.25,2101631.25,796.2870483398438,2101816.25,0.5363803505897522,440.9852905273438
7450,2183688.5,2142567.5,797.0039672851563,2142752.25,0.5369037389755249,441.4155578613281
7460,2224624.5,2183503.5,797.7207641601563,2183688.5,0.5374271273612976,441.8458862304688
7470,2265560.75,2224439.5,798.4374389648438,2224624.5,0.5379505157470703,442.2761840820313
7480,2306496.75,2265375.5,799.154052734375,2265560.75,0.5384739637374878,442.70654296875
