P1,V1,V1min,V1max
2688512.12056,1.53667158265e-08,-0.270118036272,1.53667158265e-08
-5506700.73729,-0.270118036272,-0.270118036272,1.53667158265e-08
1241743.22263,1.53667158265e-08,-0.270118036272,1.53667158265e-08
7087356.41956,1.53667158265e-08,-0.270118036272,1.53667158265e-08
7852683.05285,1.53667158265e-08,-0.270118036272,1.53667158265e-08
9144930.40162,1.53667158265e-08,-0.270118036272,1.53667158265e-08
2826823.46944,1.53667158265e-08,-0.270118036272,1.53667158265e-08
426888.547471,1.53667158265e-08,-0.270118036272,1.53667158265e-08
-1711402.37518,-0.270118036272,-0.270118036272,1.53667158265e-08
-9995626.10872,-0.270118036272,-0.270118036272,1.53667158265e-08
