PCADimension4,PCADimension3,PCADimension6,PCADimension5,PCADimension2,PCADimension1,ES.portElec_b.W,ES.battery.E,Time,SC.demand_ES.y[1]
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7210.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7220.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7230.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7240.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7250.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7260.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7270.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7280.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7290.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7300.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7310.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7320.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7330.0,0.0
-0.519116503242,2.89858375369,-0.321199493926,-0.0976484713499,-1.24622957087,1.35828018924,0.0,71999995904.0,7340.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7350.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7360.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7370.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7380.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7390.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7400.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7410.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7420.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7430.0,0.0
-0.51503122573,2.91675556607,-0.323304269691,-0.0984673594508,-1.24315966815,1.36003591574,0.0,71999995904.0,7440.0,0.0
