Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,10,10000000,932.58526611328125,10000000
60,10,10000000,932.58526611328125,10000000
70,10,10000000,932.58526611328125,10000000
80,10,10000000,932.58526611328125,10000000
90,10,10000000,932.58526611328125,10000000
100,15,10000000,932.58526611328125,10000000
110,15,14999887,1016.86529541015625,15000000
120,15,14999999,1016.8671875,15000000
130,15,15000000,1016.8671875,15000000
140,15,15000000,1016.8671875,15000000
150,15,15000000,1016.8671875,15000000
160,15,15000000,1016.8671875,15000000
170,15,15000000,1016.8671875,15000000
180,15,15000000,1016.8671875,15000000
190,15,15000000,1016.8671875,15000000
200,15,15000000,1016.8671875,15000000
210,15,15000000,1016.8671875,15000000
220,15,15000000,1016.8671875,15000000
230,15,15000000,1016.8671875,15000000
240,15,15000000,1016.8671875,15000000
250,15,15000000,1016.8671875,15000000
260,15,15000000,1016.8671875,15000000
270,15,15000000,1016.8671875,15000000
280,15,15000000,1016.8671875,15000000
290,15,15000000,1016.8671875,15000000
300,15,15000000,1016.8671875,15000000
310,15,15000000,1016.8671875,15000000
320,15,15000000,1016.8671875,15000000
330,15,15000000,1016.8671875,15000000
340,15,15000000,1016.8671875,15000000
350,15,15000000,1016.8671875,15000000
360,15,15000000,1016.8671875,15000000
370,15,15000000,1016.8671875,15000000
380,15,15000000,1016.8671875,15000000
390,15,15000000,1016.8671875,15000000
400,15,15000000,1016.8671875,15000000
410,15,15000000,1016.8671875,15000000
420,15,15000000,1016.8671875,15000000
430,15,15000000,1016.8671875,15000000
440,15,15000000,1016.8671875,15000000
450,15,15000000,1016.8671875,15000000
460,15,15000000,1016.8671875,15000000
470,15,15000000,1016.8671875,15000000
480,15,15000000,1016.8671875,15000000
490,15,15000000,1016.8671875,15000000
500,15,15000000,1016.8671875,15000000
510,15,15000000,1016.8671875,15000000
520,15,15000000,1016.8671875,15000000
530,15,15000000,1016.8671875,15000000
540,15,15000000,1016.8671875,15000000
550,15,15000000,1016.8671875,15000000
560,15,15000000,1016.8671875,15000000
570,15,15000000,1016.8671875,15000000
580,15,15000000,1016.8671875,15000000
590,15,15000000,1016.8671875,15000000
600,10,15000000,1016.8671875,15000000
610,10,9999873,932.58306884765625,10000000
620,10,10000005,932.5853271484375,10000000
630,10,10000001,932.58526611328125,10000000
640,10,10000000,932.58526611328125,10000000
650,10,10000000,932.58526611328125,10000000
660,10,10000000,932.58526611328125,10000000
670,10,10000000,932.58526611328125,10000000
680,10,10000000,932.58526611328125,10000000
690,10,10000000,932.58526611328125,10000000
700,10,10000000,932.58526611328125,10000000
710,10,10000000,932.58526611328125,10000000
720,10,10000000,932.58526611328125,10000000
730,10,10000000,932.58526611328125,10000000
740,10,10000000,932.58526611328125,10000000
750,10,10000000,932.58526611328125,10000000
760,10,10000000,932.58526611328125,10000000
770,10,10000000,932.58526611328125,10000000
780,10,10000000,932.58526611328125,10000000
790,10,10000000,932.58526611328125,10000000
800,10,10000000,932.58526611328125,10000000
810,10,10000000,932.58526611328125,10000000
820,10,10000000,932.58526611328125,10000000
830,10,10000000,932.58526611328125,10000000
840,10,10000000,932.58526611328125,10000000
850,10,10000000,932.58526611328125,10000000
860,10,10000000,932.58526611328125,10000000
870,10,10000000,932.58526611328125,10000000
880,10,10000000,932.58526611328125,10000000
890,10,10000000,932.58526611328125,10000000
900,10,10000000,932.58526611328125,10000000
910,10,10000000,932.58526611328125,10000000
920,10,10000000,932.58526611328125,10000000
930,10,10000000,932.58526611328125,10000000
940,10,10000000,932.58526611328125,10000000
950,10,10000000,932.58526611328125,10000000
960,10,10000000,932.58526611328125,10000000
970,10,10000000,932.58526611328125,10000000
980,10,10000000,932.58526611328125,10000000
990,10,10000000,932.58526611328125,10000000
1000,10,10000000,932.58526611328125,10000000
1010,10,10000000,932.58526611328125,10000000
1020,10,10000000,932.58526611328125,10000000
1030,10,10000000,932.58526611328125,10000000
1040,10,10000000,932.58526611328125,10000000
1050,10,10000000,932.58526611328125,10000000
1060,10,10000000,932.58526611328125,10000000
1070,10,10000000,932.58526611328125,10000000
1080,10,10000000,932.58526611328125,10000000
1090,10,10000000,932.58526611328125,10000000
1100,15,10000000,932.58526611328125,10000000
1110,15,14999887,1016.86529541015625,15000000
1120,15,14999999,1016.8671875,15000000
1130,15,15000000,1016.8671875,15000000
1140,15,15000000,1016.8671875,15000000
1150,15,15000000,1016.8671875,15000000
1160,15,15000000,1016.8671875,15000000
1170,15,15000000,1016.8671875,15000000
1180,15,15000000,1016.8671875,15000000
1190,15,15000000,1016.8671875,15000000
1200,15,15000000,1016.8671875,15000000
1210,15,15000000,1016.8671875,15000000
1220,15,15000000,1016.8671875,15000000
1230,15,15000000,1016.8671875,15000000
1240,15,15000000,1016.8671875,15000000
1250,15,15000000,1016.8671875,15000000
1260,15,15000000,1016.8671875,15000000
1270,15,15000000,1016.8671875,15000000
1280,15,15000000,1016.8671875,15000000
1290,15,15000000,1016.8671875,15000000
