Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,35,35000000,1340.54638671875,35000000
60,35,35000000,1340.54638671875,35000000
70,35,35000000,1340.54638671875,35000000
80,35,35000000,1340.54638671875,35000000
90,35,35000000,1340.54638671875,35000000
100,40,35000000,1340.54638671875,35000000
110,40,40000136,1418.2860107421875,40000000
120,40,40000004,1418.283935546875,40000000
130,40,40000000,1418.283935546875,40000000
140,40,40000000,1418.283935546875,40000000
150,40,40000000,1418.283935546875,40000000
160,40,40000000,1418.283935546875,40000000
170,40,40000000,1418.283935546875,40000000
180,40,40000000,1418.283935546875,40000000
190,40,40000000,1418.283935546875,40000000
200,40,40000000,1418.283935546875,40000000
210,40,40000000,1418.283935546875,40000000
220,40,40000000,1418.283935546875,40000000
230,40,40000000,1418.283935546875,40000000
240,40,40000000,1418.283935546875,40000000
250,40,40000000,1418.283935546875,40000000
260,40,40000000,1418.283935546875,40000000
270,40,40000000,1418.283935546875,40000000
280,40,40000000,1418.283935546875,40000000
290,40,40000000,1418.283935546875,40000000
300,40,40000000,1418.283935546875,40000000
310,40,40000000,1418.283935546875,40000000
320,40,40000000,1418.283935546875,40000000
330,40,40000000,1418.283935546875,40000000
340,40,40000000,1418.283935546875,40000000
350,40,40000000,1418.283935546875,40000000
360,40,40000000,1418.283935546875,40000000
370,40,40000000,1418.283935546875,40000000
380,40,40000000,1418.283935546875,40000000
390,40,40000000,1418.283935546875,40000000
400,40,40000000,1418.283935546875,40000000
410,40,40000000,1418.283935546875,40000000
420,40,40000000,1418.283935546875,40000000
430,40,40000000,1418.283935546875,40000000
440,40,40000000,1418.283935546875,40000000
450,40,40000000,1418.283935546875,40000000
460,40,40000000,1418.283935546875,40000000
470,40,40000000,1418.283935546875,40000000
480,40,40000000,1418.283935546875,40000000
490,40,40000000,1418.283935546875,40000000
500,40,40000000,1418.283935546875,40000000
510,40,40000000,1418.283935546875,40000000
520,40,40000000,1418.283935546875,40000000
530,40,40000000,1418.283935546875,40000000
540,40,40000000,1418.283935546875,40000000
550,40,40000000,1418.283935546875,40000000
560,40,40000000,1418.283935546875,40000000
570,40,40000000,1418.283935546875,40000000
580,40,40000000,1418.283935546875,40000000
590,40,40000000,1418.283935546875,40000000
600,35,40000000,1418.283935546875,40000000
610,35,35000140,1340.548583984375,35000000
620,35,35000004,1340.5465087890625,35000000
630,35,35000000,1340.54638671875,35000000
640,35,35000000,1340.54638671875,35000000
650,35,35000000,1340.54638671875,35000000
660,35,35000000,1340.54638671875,35000000
670,35,35000000,1340.54638671875,35000000
680,35,35000000,1340.54638671875,35000000
690,35,35000000,1340.54638671875,35000000
700,35,35000000,1340.54638671875,35000000
710,35,35000000,1340.54638671875,35000000
720,35,35000000,1340.54638671875,35000000
730,35,35000000,1340.54638671875,35000000
740,35,35000000,1340.54638671875,35000000
750,35,35000000,1340.54638671875,35000000
760,35,35000000,1340.54638671875,35000000
770,35,35000000,1340.54638671875,35000000
780,35,35000000,1340.54638671875,35000000
790,35,35000000,1340.54638671875,35000000
800,35,35000000,1340.54638671875,35000000
810,35,35000000,1340.54638671875,35000000
820,35,35000000,1340.54638671875,35000000
830,35,35000000,1340.54638671875,35000000
840,35,35000000,1340.54638671875,35000000
850,35,35000000,1340.54638671875,35000000
860,35,35000000,1340.54638671875,35000000
870,35,35000000,1340.54638671875,35000000
880,35,35000000,1340.54638671875,35000000
890,35,35000000,1340.54638671875,35000000
900,35,35000000,1340.54638671875,35000000
910,35,35000000,1340.54638671875,35000000
920,35,35000000,1340.54638671875,35000000
930,35,35000000,1340.54638671875,35000000
940,35,35000000,1340.54638671875,35000000
950,35,35000000,1340.54638671875,35000000
960,35,35000000,1340.54638671875,35000000
970,35,35000000,1340.54638671875,35000000
980,35,35000000,1340.54638671875,35000000
990,35,35000000,1340.54638671875,35000000
1000,35,35000000,1340.54638671875,35000000
1010,35,35000000,1340.54638671875,35000000
1020,35,35000000,1340.54638671875,35000000
1030,35,35000000,1340.54638671875,35000000
1040,35,35000000,1340.54638671875,35000000
1050,35,35000000,1340.54638671875,35000000
1060,35,35000000,1340.54638671875,35000000
1070,35,35000000,1340.54638671875,35000000
1080,35,35000000,1340.54638671875,35000000
1090,35,35000000,1340.54638671875,35000000
1100,40,35000000,1340.54638671875,35000000
1110,40,40000136,1418.2860107421875,40000000
1120,40,40000004,1418.283935546875,40000000
1130,40,40000000,1418.283935546875,40000000
1140,40,40000000,1418.283935546875,40000000
1150,40,40000000,1418.283935546875,40000000
1160,40,40000000,1418.283935546875,40000000
1170,40,40000000,1418.283935546875,40000000
1180,40,40000000,1418.283935546875,40000000
1190,40,40000000,1418.283935546875,40000000
1200,40,40000000,1418.283935546875,40000000
1210,40,40000000,1418.283935546875,40000000
1220,40,40000000,1418.283935546875,40000000
1230,40,40000000,1418.283935546875,40000000
1240,40,40000000,1418.283935546875,40000000
1250,40,40000000,1418.283935546875,40000000
1260,40,40000000,1418.283935546875,40000000
1270,40,40000000,1418.283935546875,40000000
1280,40,40000000,1418.283935546875,40000000
1290,40,40000000,1418.283935546875,40000000
1300,40,40000000,1418.283935546875,40000000
1310,40,40000000,1418.283935546875,40000000
1320,40,40000000,1418.283935546875,40000000
1330,40,40000000,1418.283935546875,40000000
1340,40,40000000,1418.283935546875,40000000
1350,40,40000000,1418.283935546875,40000000
1360,40,40000000,1418.283935546875,40000000
1370,40,40000000,1418.283935546875,40000000
1380,40,40000000,1418.283935546875,40000000
1390,40,40000000,1418.283935546875,40000000
1400,40,40000000,1418.283935546875,40000000
1410,40,40000000,1418.283935546875,40000000
1420,40,40000000,1418.283935546875,40000000
1430,40,40000000,1418.283935546875,40000000
1440,40,40000000,1418.283935546875,40000000
1450,40,40000000,1418.283935546875,40000000
1460,40,40000000,1418.283935546875,40000000
1470,40,40000000,1418.283935546875,40000000
1480,40,40000000,1418.283935546875,40000000
1490,40,40000000,1418.283935546875,40000000
1500,40,40000000,1418.283935546875,40000000
