Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,0,0.0072542256675660610198974609375,759.32269287109375,0
60,0,0.003514654003083705902099609375,759.32269287109375,0
70,0,0.001596415066160261631011962890625,759.32269287109375,0
80,0,0.000225100069656036794185638427734375,759.32269287109375,0
90,0,8.4114071796648204326629638671875e-06,759.32269287109375,0
100,5,-0.0002082772552967071533203125,759.32269287109375,0
110,5,4999706.5,846.76226806640625,5000000
120,5,5000001,846.76739501953125,5000000
130,5,5000000,846.767333984375,5000000
140,5,5000000,846.767333984375,5000000
150,5,5000000,846.767333984375,5000000
160,5,5000000,846.767333984375,5000000
170,5,5000000,846.767333984375,5000000
180,5,5000000,846.767333984375,5000000
190,5,5000000,846.767333984375,5000000
200,5,5000000,846.767333984375,5000000
210,5,5000000,846.767333984375,5000000
220,5,5000000,846.767333984375,5000000
230,5,5000000,846.767333984375,5000000
240,5,5000000,846.767333984375,5000000
250,5,5000000,846.767333984375,5000000
260,5,5000000,846.767333984375,5000000
270,5,5000000,846.767333984375,5000000
280,5,5000000,846.767333984375,5000000
290,5,5000000,846.767333984375,5000000
300,5,5000000,846.767333984375,5000000
310,5,5000000,846.767333984375,5000000
320,5,5000000,846.767333984375,5000000
330,5,5000000,846.767333984375,5000000
340,5,5000000,846.767333984375,5000000
350,5,5000000,846.767333984375,5000000
360,5,5000000,846.767333984375,5000000
370,5,5000000,846.767333984375,5000000
380,5,5000000,846.767333984375,5000000
390,5,5000000,846.767333984375,5000000
400,5,5000000,846.767333984375,5000000
410,5,5000000,846.767333984375,5000000
420,5,5000000,846.767333984375,5000000
430,5,5000000,846.767333984375,5000000
440,5,5000000,846.767333984375,5000000
450,5,5000000,846.767333984375,5000000
460,5,5000000,846.767333984375,5000000
470,5,5000000,846.767333984375,5000000
480,5,5000000,846.767333984375,5000000
490,5,5000000,846.767333984375,5000000
500,5,5000000,846.767333984375,5000000
510,5,5000000,846.767333984375,5000000
520,5,5000000,846.767333984375,5000000
530,5,5000000,846.767333984375,5000000
540,5,5000000,846.767333984375,5000000
550,5,5000000,846.767333984375,5000000
560,5,5000000,846.767333984375,5000000
570,5,5000000,846.767333984375,5000000
580,5,5000000,846.767333984375,5000000
590,5,5000000,846.767333984375,5000000
600,0,5000000,846.767333984375,5000000
610,0,-494.628875732421875,759.3138427734375,0
620,0,0.02983891963958740234375,759.32269287109375,0
630,0,0.0019159535877406597137451171875,759.32269287109375,0
640,0,0.0005081745912320911884307861328125,759.32269287109375,0
650,0,0.000152288819663226604461669921875,759.32269287109375,0
660,0,7.15407732059247791767120361328125e-05,759.32269287109375,0
670,0,1.1777430700021795928478240966796875e-05,759.32269287109375,0
680,0,9.382516509504057466983795166015625e-06,759.32269287109375,0
690,0,7.00950613463646732270717620849609375e-06,759.32269287109375,0
700,0,4.6145914893713779747486114501953125e-06,759.32269287109375,0
710,0,2.219677071479964070022106170654296875e-06,759.32269287109375,0
720,0,3.57776883674887358210980892181396484375e-07,759.32269287109375,0
730,0,3.21269027381276828236877918243408203125e-07,759.32269287109375,0
740,0,2.92062765083755948580801486968994140625e-07,759.32269287109375,0
750,0,2.62856474364525638520717620849609375e-07,759.32269287109375,0
