Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,40,40000000,1418.283935546875,40000000
60,40,40000000,1418.283935546875,40000000
70,40,40000000,1418.283935546875,40000000
80,40,40000000,1418.283935546875,40000000
90,40,40000000,1418.283935546875,40000000
100,45,40000000,1418.283935546875,40000000
110,45,45000228,1494.7955322265625,45000000
120,45,44999996,1494.7919921875,45000000
130,45,45000000,1494.7919921875,45000000
140,45,45000000,1494.7919921875,45000000
150,45,45000000,1494.7919921875,45000000
160,45,45000000,1494.7919921875,45000000
170,45,45000000,1494.7919921875,45000000
180,45,45000000,1494.7919921875,45000000
190,45,45000000,1494.7919921875,45000000
200,45,45000000,1494.7919921875,45000000
210,45,45000000,1494.7919921875,45000000
220,45,45000000,1494.7919921875,45000000
230,45,45000000,1494.7919921875,45000000
240,45,45000000,1494.7919921875,45000000
250,45,45000000,1494.7919921875,45000000
260,45,45000000,1494.7919921875,45000000
270,45,45000000,1494.7919921875,45000000
280,45,45000000,1494.7919921875,45000000
290,45,45000000,1494.7919921875,45000000
300,45,45000000,1494.7919921875,45000000
310,45,45000000,1494.7919921875,45000000
320,45,45000000,1494.7919921875,45000000
330,45,45000000,1494.7919921875,45000000
340,45,45000000,1494.7919921875,45000000
350,45,45000000,1494.7919921875,45000000
360,45,45000000,1494.7919921875,45000000
370,45,45000000,1494.7919921875,45000000
380,45,45000000,1494.7919921875,45000000
390,45,45000000,1494.7919921875,45000000
400,45,45000000,1494.7919921875,45000000
410,45,45000000,1494.7919921875,45000000
420,45,45000000,1494.7919921875,45000000
430,45,45000000,1494.7919921875,45000000
440,45,45000000,1494.7919921875,45000000
450,45,45000000,1494.7919921875,45000000
460,45,45000000,1494.7919921875,45000000
470,45,45000000,1494.7919921875,45000000
480,45,45000000,1494.7919921875,45000000
490,45,45000000,1494.7919921875,45000000
500,45,45000000,1494.7919921875,45000000
510,45,45000000,1494.7919921875,45000000
520,45,45000000,1494.7919921875,45000000
530,45,45000000,1494.7919921875,45000000
540,45,45000000,1494.7919921875,45000000
