Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,45,45000000,1494.7919921875,45000000
60,45,45000000,1494.7919921875,45000000
70,45,45000000,1494.7919921875,45000000
80,45,45000000,1494.7919921875,45000000
90,45,45000000,1494.7919921875,45000000
100,50,45000000,1494.7919921875,45000000
110,50,50000752,1570.1019287109375,50000000
120,50,49999976,1570.09033203125,50000000
130,50,49999996,1570.090576171875,50000000
140,50,50000000,1570.0906982421875,50000000
150,50,50000000,1570.0906982421875,50000000
160,50,50000000,1570.0906982421875,50000000
170,50,50000000,1570.0906982421875,50000000
180,50,50000000,1570.0906982421875,50000000
190,50,50000000,1570.0906982421875,50000000
200,50,50000000,1570.0906982421875,50000000
210,50,50000000,1570.0906982421875,50000000
220,50,50000000,1570.0906982421875,50000000
230,50,50000000,1570.0906982421875,50000000
240,50,50000000,1570.0906982421875,50000000
250,50,50000000,1570.0906982421875,50000000
260,50,50000000,1570.0906982421875,50000000
270,50,50000000,1570.0906982421875,50000000
280,50,50000000,1570.0906982421875,50000000
290,50,50000000,1570.0906982421875,50000000
300,50,50000000,1570.0906982421875,50000000
310,50,50000000,1570.0906982421875,50000000
320,50,50000000,1570.0906982421875,50000000
330,50,50000000,1570.0906982421875,50000000
340,50,50000000,1570.0906982421875,50000000
350,50,50000000,1570.0906982421875,50000000
360,50,50000000,1570.0906982421875,50000000
370,50,50000000,1570.0906982421875,50000000
380,50,50000000,1570.0906982421875,50000000
390,50,50000000,1570.0906982421875,50000000
400,50,50000000,1570.0906982421875,50000000
410,50,50000000,1570.0906982421875,50000000
420,50,50000000,1570.0906982421875,50000000
430,50,50000000,1570.0906982421875,50000000
440,50,50000000,1570.0906982421875,50000000
450,50,50000000,1570.0906982421875,50000000
460,50,50000000,1570.0906982421875,50000000
470,50,50000000,1570.0906982421875,50000000
480,50,50000000,1570.0906982421875,50000000
490,50,50000000,1570.0906982421875,50000000
500,50,50000000,1570.0906982421875,50000000
510,50,50000000,1570.0906982421875,50000000
520,50,50000000,1570.0906982421875,50000000
530,50,50000000,1570.0906982421875,50000000
540,50,50000000,1570.0906982421875,50000000
550,50,50000000,1570.0906982421875,50000000
560,50,50000000,1570.0906982421875,50000000
570,50,50000000,1570.0906982421875,50000000
580,50,50000000,1570.0906982421875,50000000
590,50,50000000,1570.0906982421875,50000000
600,45,50000000,1570.0906982421875,50000000
610,45,45000308,1494.7967529296875,45000000
620,45,45000008,1494.7921142578125,45000000
630,45,45000000,1494.7921142578125,45000000
640,45,45000000,1494.7919921875,45000000
650,45,45000000,1494.7919921875,45000000
660,45,45000000,1494.7919921875,45000000
670,45,45000000,1494.7919921875,45000000
680,45,45000000,1494.7919921875,45000000
690,45,45000000,1494.7919921875,45000000
700,45,45000000,1494.7919921875,45000000
710,45,45000000,1494.7919921875,45000000
720,45,45000000,1494.7919921875,45000000
730,45,45000000,1494.7919921875,45000000
740,45,45000000,1494.7919921875,45000000
750,45,45000000,1494.7919921875,45000000
760,45,45000000,1494.7919921875,45000000
770,45,45000000,1494.7919921875,45000000
780,45,45000000,1494.7919921875,45000000
790,45,45000000,1494.7919921875,45000000
800,45,45000000,1494.7919921875,45000000
810,45,45000000,1494.7919921875,45000000
820,45,45000000,1494.7919921875,45000000
830,45,45000000,1494.7919921875,45000000
840,45,45000000,1494.7919921875,45000000
850,45,45000000,1494.7919921875,45000000
860,45,45000000,1494.7919921875,45000000
870,45,45000000,1494.7919921875,45000000
880,45,45000000,1494.7919921875,45000000
890,45,45000000,1494.7919921875,45000000
900,45,45000000,1494.7919921875,45000000
910,45,45000000,1494.7919921875,45000000
920,45,45000000,1494.7919921875,45000000
930,45,45000000,1494.7919921875,45000000
940,45,45000000,1494.7919921875,45000000
950,45,45000000,1494.7919921875,45000000
960,45,45000000,1494.7919921875,45000000
970,45,45000000,1494.7919921875,45000000
980,45,45000000,1494.7919921875,45000000
990,45,45000000,1494.7919921875,45000000
1000,45,45000000,1494.7919921875,45000000
1010,45,45000000,1494.7919921875,45000000
1020,45,45000000,1494.7919921875,45000000
1030,45,45000000,1494.7919921875,45000000
1040,45,45000000,1494.7919921875,45000000
1050,45,45000000,1494.7919921875,45000000
1060,45,45000000,1494.7919921875,45000000
1070,45,45000000,1494.7919921875,45000000
1080,45,45000000,1494.7919921875,45000000
1090,45,45000000,1494.7919921875,45000000
1100,50,45000000,1494.7919921875,45000000
1110,50,50000752,1570.1019287109375,50000000
1120,50,49999976,1570.09033203125,50000000
1130,50,49999996,1570.090576171875,50000000
1140,50,50000000,1570.0906982421875,50000000
1150,50,50000000,1570.0906982421875,50000000
1160,50,50000000,1570.0906982421875,50000000
1170,50,50000000,1570.0906982421875,50000000
1180,50,50000000,1570.0906982421875,50000000
1190,50,50000000,1570.0906982421875,50000000
1200,50,50000000,1570.0906982421875,50000000
1210,50,50000000,1570.0906982421875,50000000
1220,50,50000000,1570.0906982421875,50000000
1230,50,50000000,1570.0906982421875,50000000
1240,50,50000000,1570.0906982421875,50000000
1250,50,50000000,1570.0906982421875,50000000
1260,50,50000000,1570.0906982421875,50000000
1270,50,50000000,1570.0906982421875,50000000
1280,50,50000000,1570.0906982421875,50000000
1290,50,50000000,1570.0906982421875,50000000
1300,50,50000000,1570.0906982421875,50000000
